time,x,y,z
5.12,2.83225,1.40654,2
5.13,2.84893,1.37245,2
5.14,2.86519,1.33817,2
5.15,2.88104,1.30369,2
5.16,2.89648,1.26902,2
5.17,2.9115,1.23417,2
5.18,2.9261,1.19915,2
5.19,2.94028,1.16395,2
5.2,2.95403,1.12858,2
5.21,2.96736,1.09305,2
5.22,2.98026,1.05737,2
5.23,2.99274,1.02153,2
5.24,3.00478,0.985544,2
5.25,3.01639,0.949417,2
5.26,3.02757,0.913153,2
5.27,3.0383,0.876757,2
5.28,3.04861,0.840235,2
5.29,3.05847,0.803592,2
5.3,3.06789,0.766834,2
5.31,3.07687,0.729965,2
5.32,3.08541,0.69299,2
5.33,3.09351,0.655917,2
5.34,3.10115,0.618748,2
5.35,3.10835,0.581491,2
5.36,3.11511,0.544149,2
5.37,3.12141,0.50673,2
5.38,3.12727,0.469237,2
5.39,3.13268,0.431677,2
5.4,3.13763,0.394055,2
5.41,3.14213,0.356376,2
5.42,3.14618,0.318646,2
5.43,3.14978,0.280869,2
5.44,3.15292,0.243053,2
5.45,3.15561,0.205201,2
5.46,3.15785,0.16732,2
5.47,3.15963,0.129414,2
5.48,3.16095,0.0914905,2
5.49,3.16182,0.0535533,2
5.5,3.16224,0.0156085,2
5.51,3.1622,-0.0223386,2
5.52,3.1617,-0.0602824,2
5.53,3.16075,-0.0982176,2
5.54,3.15935,-0.136139,2
5.55,3.15748,-0.17404,2
5.56,3.15517,-0.211916,2
5.57,3.1524,-0.249762,2
5.58,3.14917,-0.287572,2
5.59,3.1455,-0.325341,2
5.6,3.14137,-0.363062,2
5.61,3.13678,-0.400732,2
5.62,3.13175,-0.438343,2
5.63,3.12626,-0.475892,2
5.64,3.12033,-0.513372,2
5.65,3.11394,-0.550778,2
5.66,3.10711,-0.588105,2
5.67,3.09983,-0.625347,2
5.68,3.0921,-0.662499,2
5.69,3.08393,-0.699556,2
5.7,3.07531,-0.736511,2
5.71,3.06625,-0.773361,2
5.72,3.05675,-0.8101,2
5.73,3.04681,-0.846722,2
5.74,3.03643,-0.883221,2
5.75,3.02562,-0.919594,2
5.76,3.01436,-0.955834,2
5.77,3.00268,-0.991937,2
5.78,2.99056,-1.0279,2
5.79,2.97801,-1.06371,2
5.8,2.96503,-1.09937,2
5.81,2.95162,-1.13487,2
5.82,2.93779,-1.1702,2
5.83,2.92354,-1.20537,2
5.84,2.90886,-1.24037,2
5.85,2.89377,-1.27518,2
5.86,2.87826,-1.30982,2
5.87,2.86234,-1.34426,2
5.88,2.846,-1.37851,2
5.89,2.82925,-1.41256,2
5.9,2.8121,-1.44641,2
5.91,2.79454,-1.48005,2
5.92,2.77658,-1.51348,2
5.93,2.75822,-1.54669,2
5.94,2.73946,-1.57967,2
5.95,2.7203,-1.61243,2
5.96,2.70076,-1.64496,2
5.97,2.68083,-1.67725,2
5.98,2.66051,-1.7093,2
5.99,2.6398,-1.7411,2
6,2.61872,-1.77265,2
6.01,2.59726,-1.80395,2
6.02,2.57543,-1.83499,2
6.03,2.55322,-1.86576,2
6.04,2.53065,-1.89626,2
6.05,2.50771,-1.92649,2
6.06,2.48442,-1.95644,2
6.07,2.46076,-1.98612,2
6.08,2.43675,-2.0155,2
6.09,2.41239,-2.0446,2
6.1,2.38768,-2.0734,2
6.11,2.36263,-2.1019,2
6.12,2.33724,-2.1301,2
6.13,2.31151,-2.15799,2
6.14,2.28545,-2.18557,2
6.15,2.25906,-2.21284,2
6.16,2.23234,-2.23979,2
6.17,2.2053,-2.26642,2
6.18,2.17795,-2.29272,2
6.19,2.15028,-2.31869,2
6.2,2.1223,-2.34432,2
6.21,2.09402,-2.36962,2
6.22,2.06543,-2.39458,2
6.23,2.03655,-2.41919,2
6.24,2.00737,-2.44345,2
6.25,1.97791,-2.46736,2
6.26,1.94816,-2.49092,2
6.27,1.91813,-2.51412,2
6.28,1.88782,-2.53696,2
6.29,1.85724,-2.55943,2
6.3,1.82639,-2.58153,2
6.31,1.79528,-2.60326,2
6.32,1.76392,-2.62461,2
6.33,1.7323,-2.64559,2
6.34,1.70042,-2.66619,2
6.35,1.66831,-2.6864,2
6.36,1.63595,-2.70623,2
6.37,1.60336,-2.72566,2
6.38,1.57054,-2.74471,2
6.39,1.53749,-2.76335,2
6.4,1.50422,-2.7816,2
6.41,1.47073,-2.79945,2
6.42,1.43703,-2.8169,2
6.43,1.40313,-2.83394,2
6.44,1.36902,-2.85058,2
6.45,1.33472,-2.8668,2
6.46,1.30022,-2.88261,2
6.47,1.26554,-2.898,2
6.48,1.23067,-2.91298,2
6.49,1.19563,-2.92754,2
6.5,1.16041,-2.94167,2
6.51,1.12503,-2.95539,2
6.52,1.08948,-2.96867,2
6.53,1.05378,-2.98153,2
6.54,1.01793,-2.99396,2
6.55,0.981927,-3.00596,2
6.56,0.945786,-3.01753,2
6.57,0.909508,-3.02866,2
6.58,0.873099,-3.03936,2
6.59,0.836565,-3.04962,2
6.6,0.79991,-3.05944,2
6.61,0.76314,-3.06881,2
6.62,0.726261,-3.07775,2
6.63,0.689276,-3.08624,2
6.64,0.652192,-3.09429,2
6.65,0.615015,-3.1019,2
6.66,0.577749,-3.10905,2
6.67,0.540399,-3.11576,2
6.68,0.502972,-3.12202,2
6.69,0.465473,-3.12783,2
6.7,0.427906,-3.13319,2
6.71,0.390278,-3.1381,2
6.72,0.352594,-3.14256,2
6.73,0.314858,-3.14656,2
6.74,0.277078,-3.15012,2
6.75,0.239257,-3.15321,2
6.76,0.201402,-3.15586,2
6.77,0.163519,-3.15805,2
6.78,0.125611,-3.15978,2
6.79,0.0876856,-3.16106,2
6.8,0.0497475,-3.16189,2
6.81,0.0118022,-3.16226,2
6.82,-0.0261448,-3.16217,2
6.83,-0.0640881,-3.16163,2
6.84,-0.102022,-3.16063,2
6.85,-0.139941,-3.15918,2
6.86,-0.177841,-3.15727,2
6.87,-0.215714,-3.15491,2
6.88,-0.253557,-3.1521,2
6.89,-0.291363,-3.14883,2
6.9,-0.329127,-3.1451,2
6.91,-0.366843,-3.14093,2
6.92,-0.404507,-3.1363,2
6.93,-0.442113,-3.13122,2
6.94,-0.479655,-3.12569,2
6.95,-0.517127,-3.11971,2
6.96,-0.554526,-3.11328,2
6.97,-0.591844,-3.1064,2
6.98,-0.629078,-3.09907,2
6.99,-0.66622,-3.0913,2
7,-0.703267,-3.08309,2
7.01,-0.740213,-3.07442,2
7.02,-0.777051,-3.06532,2
7.03,-0.813778,-3.05578,2
7.04,-0.850388,-3.04579,2
7.05,-0.886876,-3.03537,2
7.06,-0.923235,-3.02451,2
7.07,-0.959462,-3.01321,2
7.08,-0.995551,-3.00148,2
7.09,-1.0315,-2.98932,2
7.1,-1.06729,-2.97672,2
7.11,-1.10294,-2.9637,2
7.12,-1.13842,-2.95025,2
7.13,-1.17374,-2.93638,2
7.14,-1.20889,-2.92209,2
7.15,-1.24387,-2.90737,2
7.16,-1.27867,-2.89223,2
7.17,-1.31328,-2.87668,2
7.18,-1.34771,-2.86072,2
7.19,-1.38194,-2.84434,2
7.2,-1.41597,-2.82755,2
7.21,-1.4498,-2.81035,2
7.22,-1.48341,-2.79276,2
7.23,-1.51682,-2.77475,2
7.24,-1.55001,-2.75635,2
7.25,-1.58297,-2.73755,2
7.26,-1.61571,-2.71836,2
7.27,-1.64821,-2.69878,2
7.28,-1.68048,-2.67881,2
